Activity Code,Activity Name,Description
4711005,Grinding Shop," Includes small shops involved in milling cereals, spices and coffee for others, or grind and packing in consumer packs, these are small shops that cannot be classified as industrial firms"
4711003,Grocery Store," Includes commercial firms whose activities are based on the marketing of certain consumer products and goods , such as fresh, preserved and canned foodstuff, household utensils, and detergents."
5223010,Ground Services for," Non-commercial Aircrafts Includes servicing non-commercial aircrafts, such as, private aircrafts and aircrafts for charter, while it is on the ground and parked at a terminal gate of an airport, involving handling the many service between arrival and departure such as cabin service, catering, ramp service, passenger service, field operation service. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4669219,Gum & Glue Trading," Includes reselling gum and glue for direct use or use in producing various chemical compounds, as substances for adhesive and cosmetics."
4752015,Gypsum Products," Trading Includes reselling gypsum decorative ornaments, maquettes, columns, architectural accessories, cladding panels, insulators, fiower pots"
7912002,Hajj & Umra," Organizing Includes offices which organize hajj (pilgrimage) and umra to the holy places, carry out the necessary procedures and contacts needed for travel and hotel, and accommodation bookings and facilitate pilgrims' transportation during their stay."
4771906,Handbags & Leather," Products Trading Includes reselling of handbags made out of leather, fiber, textile or plastic, also, leather purses, belts, leather, and office requisites, leather clothes are excluded."
4773706,"Handling, Loading &"," lifting Equipment Trading Includes selling of hand-operated ,towed or power-driven tools and equipment, big or small, to utilize in handling and lifting in airports, seaports , warehouses, and customs stations, including winches, forklifts, handling equipment, carriages, trailers, dollies, ULD transfers and storage systems."
4923008,Hazardous Materials," Transport Includes firms engaged in transporting infiammable materials whether liquid, solid, gaseous or compressed state, like explosives and gas cylinders, it involves transporting also the hazardous acidic, radiant, toxic and oxidizing materials."
6512005,Health Insurance," Includes firms carrying out health insurance policies, which compensate, loss of income, medication expenses of the insured in case of sickness."
4659306,Heavy Aircrafts &," Helicopters Trading Includes trading of all types of civil aircrafts , and helicopters used for transportation of people and cargo, search and rescue, tourism, medical transport and aerial observation, and other civil related usages"
4773514,Heavy Equipment &," Machinery Spare Parts Trading Includes reselling the spare parts of heavy and industrial machinery and equipment used for , handling, refrigeration, air purifying, metal cutting and forming, food, beverage, and tobacco processing, textile apparel, and leather production, lifts, escalators, boilers, central kitchens, automatic washing equipment, electric generators, water pumps"
5110002,Helicopters Rental &, Operation Includes rental and operation of helicopter on demand for passenger and cargo transportation and for other purposes that includes the use of helicopters
4620205,Hides Trading, Includes reselling dried animal hides before tanning or any other converting process.
4759001,Home Furniture," Trading Includes reselling household beds, bedroom sets, wardrobes, sofas and chairs, tables and requisites, mirrors, hangers, also, furniture for hotels and restaurants totally or partially made of wood, plastic, glass, metal, fiberglass or others."
4721018,Honey & Apiary," Accessories Trading Includes reselling raw, purified, refined and bottled honey, also, royal jelly, pollen, propolis as well as beehives, beeswax sheets, honey extractors and other apiary accessories."
4620207,"Horns, Hooves &"," Animal Bones Trading Includes reselling of animal bones, hooves and horns before making any converting process."
4763020,Horse Equestrian," Equipment & Requisites Trading Includes reselling of saddles, reins and other horse riding accessories, also, breeding, training, feeding and caring related requisites other than uniforms."
4620204,Horses Trading," Includes reselling Arabian and thoroughbred horses for racing, training and breeding."
4759007,Household Utensils," Trading Includes reselling of various household utensils made of metal, glass, plastic, crystal, clay, ceramic, or wood, including bowls, plates, cups, and other food preparing items, except electrically operated appliances . This also involves manual cleaners such as brooms, sweepers, garbage boxes, ironing boards, clothes horses and others."
4721044,Ice Cream Trading," Includes reselling made from dairy products, such as milk and cream, and combined with fruits or other ingredients and fiavors."
4721019,Ice Trading," Includes reselling ice in blocks, and tubular types to use in food storage and processing, chemical manufacturing, concrete mixing. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4773904,Ignition Materials," Trading Includes reselling igniters for household burners, cookers and warmers, such as match boxes and lighters."
4771110,Imitation Jewellery," Trading Includes reselling costume or imitation jewellery, such as brooches, earnings, necklaces, bracelets, rings made from base metals plated with precious metals, or jewellery containing imitation stones such as imitation gems stones, imitation diamonds."
4669211,Industrial & Liquefied," Natural Gas Trading Includes reselling of liquid gases used for industrial purposes, such as workshop welding, and gas for operating household air-conditioners and refrigerators, involving also, liquefied natural gas used for generation of electricity, production of hydrogen and ammonia after warming the LNG into natural gas."
4773927,Industrial Kitchen &," Catering Equipment Trading Includes reselling industrial kitchens equipment and machinery usually used by hotels, restaurants and hospitals to prepare, preserve and serve meals. These equipment are ovens, grillers, dishwashers, cold rooms, chillers, warmers and refrigerators, (glass fronts) service counters, conveyor belts,... etc."
4773602,Industrial Plant," Equipment & Spare Parts Trading Includes reselling equipment and machinery installed in industrial plants or used in industrial production, such as, oil refineries, petrochemicals, food and plastic industries …etc."
4669209,Industrial Solvents," Trading Includes reselling of solvents and abrasives for cleaning equipment and machinery in factories and workshops, or for central air-conditioners, lifts, boilers, as well as motor and ship engines."
4752202,Industrial Sponge," Trading Includes reselling synthetic sponge chemicals, or fully manufactured sponge."
4752048,Ink & Printing," Materials Trading Includes reselling printing inks either powdered, paste or as liquid, in addition to inject cartridges used in fax machines, photo copiers and computer printers."
4773310,Insecticides Trading," Includes reselling natural or synthetic chemicals used to manage insects pests in homes, hotels, hospitals, warehouses, ships."
4773949,"Inspection, Testing"," Equipment & Devices Trading Includes the reselling of equipment and devices specialized in testing, examining, and inspecting constructions, facilities, marine and industrial equipment, vehicles and transport means, these devices are related to on-site testing apart from laboratory equipment which are classified under 5150-10"
4752051,Insulation &," Protection Materials Trading Includes reselling of insulators and requisites used as humidity proof, water sealants, sun or generated heat proof, acoustic enclosures, vibration isolators, anti radiators, electric and magnetic insulation, metal and wood protectors of rust, corrosions, humidity and heat, as well as any material used in constructions wood, machinery, furnaces, vehicles marine equipment ...etc."
6622002,Insurance Agent," Includes firms which represent one or more insurance company/companies in dealing with the insured parties, policy buyers and insurance brokers. An establishment of that kind works for the account of the insurance company under a special contract. It represents the insurance company on the local level and is authorized to carry out business assigned to it, provided that all its acts and activities are approved by the company. It receives its remunerations from the company and not from the insured parties."
6622001,Insurance Brokers, Includes firms which buy insurance policies for individuals and companies from insurance companies. These firms differ from insurance agents in that they do not represent a certain insurance company while buying the insurance policies for their own clients. They provide their services against remunerations received directly from the beneficiaries of their services.
4922002,Inter Urban Public, Buses Services Includes firms specialized in providing land transport for passengers by buses on scheduled routes following fixed timetable stopping and different stops indicated by the timetable.
5229019,International Airline, Representative Office Includes office established by an international airline which has regular fiights to conduct marketing and other non-transactional operations.
4922001,International Buses, Service Includes firms specialized in providing land transport for passengers by buses or luxury coaches on international scheduled routes and following timetable stopping. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description
5011002,Interurban Boats, services Includes firms specialized in providing transport for passengers by boats on scheduled routes following fixed timetable stopping and different stops indicated by a timetable.
6419004,Investment Bank," Includes firms called business or investment banks. They deal in medium, long and other terms investments. They are also specialized in investment operations and the acceptance of deposits upon specific conditions (deposits are not accepted for less than two years). Such firms do not carry out ordinary banking operations carried out by other banks, except in conformity with the conditions set forth by the Central Bank."
6499003,Investment in," Agricultural Enterprises & Management Includes firms and holding companies formed in order to invest their funds or create the necessary investments for the establishment of subsidiary projects, which carry out agricultural activities and other subsidiary activities, such as land reclamation, establishment of agricultural projects, cattle, sheep and chicken farms, as well as the marketing of agricultural crops and investment in fish and sea animal resources. This also includes the management of such subsidiary companies and the organization of their affairs."
6499001,Investment in," Commercial Enterprises & Management Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various commercial activities, as well as transport, contracting and financing activities, besides other investments or shareholdings in commercial enterprises. This also includes the management of such subsidiary companies and the organization of their affairs."
6499010,Investment in," Educational Enterprises & Management Includes firms and holding companies formed in order to invest their funds through setting up subsidiaries to invest in educational facilities, the projects that aim at enhancing the capabilities of the people with special needs and the children with autism as well as knowledge and human development promoting project, it also involves the management and organizational activities."
6499008,Investment in Energy," Enterprises & Management Includes firms and holding companies formed in order to invest their funds through setting up subsidiaries to invest in non-renewable and renewable energy resources, it also involves managing and organizing such subsidiaries."
6499009,Investment in Health," Enterprises & Development Includes holding companies formed in order to invest their own funds or secure funds to be invested in setting up healthcare projects, such as, hospitals, clinics, sanatoria, rehabilitation centers and other similar enterprises. it includes managing and organizing the affairs of such companies."
6499002,Investment in," Industrial Enterprises & Management Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various industrial, extraction or converting activities, or by the investment of their funds through the shareholding in such projects. This also includes the management of such subsidiary companies and the organization of their affairs."
6499020,Investment in Oil &," Natural Gas Projects Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in oil and natural gas projects, it involves exercising operational control and managing the operations of their related units."
6499024,Investment in Outer," Space Projects Includes firms and holding companies formed to invest their funds and hold the assets of subsidiary corporations which carry out various activities related to external space, whether domestic or foreign capital, it includes operating and managing said subsidiaries."
6499018,Investment in Retail," Trade Enterprises & Management Includes holding companies that hold the assets of subsidiary corporations which carry out retail trade, it also involves managing such enterprises."
6499011,Investment in Sport," Enterprises & Management Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in sport infrastructures and projects, it involves exercising operational control and managing the operations of their related units."
6499005,Investment in Tourist," Enterprises & Management Includes firms and holding companies formed in order to invest their funds through setting up subsidiaries to invest in tourist facilities that aim at enhancing Dubai as tourist attraction, it also involves managing and organizing such subsidiaries."
6499017,Investment in Water," Enterprises & Development Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in water infrastructures and projects, it involves exercising operational control and managing the operations of their related units."
6499012,Investment," management Includes firms which practice management of securities portfolios for the account of third parties or for their own, the management of mutual funds in accordance with investment objectives and policy defined in the investment management agreement signed between the Investment manager and its clients including individuals, corporations or mutual funds. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4761007,Invitation & Greeting," Cards Trading Includes reselling the cards exchanged by individuals on special occasions to feature an expression of friendship or other sentiments or to convey thanks, it involves invitation cards for different occasions and events."
4752069,Ironmongery Trading," Includes reselling of steel and copper ironmongery door and window knobs, fixed locks and keys, door joints, and door closing requisites."
4773944,Irrigation Equipment," & Requisites Trading Includes reselling equipment and accessories used in the artificial application of water to the land or soil where the natural rainfall was insufficient to support crops, it involves pivots for overhead irrigation, pumps, sprinklers, drippers, control and automation equipment."
6419002,Islamic Bank," Includes financial institutions perform a form of modern banking based on the principles of sharia law, the underlying concept in this regard is designing investment operations contrary the interest- based commercial banking system, the approaches applied are Mudarabah (profit sharing), Ijarah (lease), Bai Salam (advance purchase), Istisna (manufacturing finance), Mudarabah (profit sharing), Musharakah (joint venture), Qard hassan (good loan), it involves conducting conventional banking against charges such as opening accounts, accepting deposits, opening letter of credits, issuing letters of guarantee"
4741014,Jamming Equipment," Trading Includes reselling jamming equipment that interferes with wireless communications, such as cordless telephones and GSM repeaters."
4741016,Jamming Software," Trading Includes reselling the set of application software for jamming or interfering with wireless communications such as cell phone calls, cordless telephones and GSM repeaters, text messages, GPS systems and Wi-Fi networks."
4661104,Jet Fuel Supply, Services Includes firms engaged in supplying air transport companies with fuel and lubricants and other similar materials to use in operations.
4540107,Jet Ski Trading, Includes reselling personal watercraft used water recreational activities and sport.
4773201,Jewellery Trading," Includes reselling adornment jewellery such as brooches, earnings, necklaces, bracelets, rings, which are made of gold, platinum, palladium, titanium, silver and gemstones."
4722002,Juice Trading," Includes reselling organic and non-organic vegetables and fruit juices , whether liquid, dried or condensed."
4764002,Kids Rides & Games," Trading Includes reselling in-door children rides and games, as well as those installed in public parks and gardens for children entertainment, including swings, slides, house and aircraft models, whether made of solid and safe materials or of infiatable objects."
6810012,Kitchen Incubator," The kitchen incubators aim to serve the largest number of unlicensed food projects by providing an integrated work environment that includes: obtaining a cooking place, licensing, training, supervising by the experts, product’s marketing and delivery, where creativity of food products is encouraged through a number of variant kitchens that suits the needs of the license applicants and therefore qualify these products to be launched in the local market in-line with the needs of the market, , also, it provides common usage areas or licensed closed kitchen areas for the production of food, tenants or members can use the kitchen for an hour or a day to produce food with a commitment to regulations. Food entrepreneurs, ranging from chefs, food suppliers, food trucks owners, bakers and value-added producers, can take advantage of the kitchen incubator"
4669226,Laboratories," Chemicals Trading Includes reselling of solutions and chemicals for scientific experiments and research, laboratory analysis, including organic and non- organic acids, alkaline, alcohol, salts, compounds elements, rocks, metals and other solid or liquid chemicals."
4773908,Laboratories Tools &," Requisites Trading Includes reselling laboratory requisites for scientific and medical testing and analysis, including glassware, instruments, apparatuses other than chemical solutions and equipment."
4771102,Ladies Garment," Trading Includes reselling ladies' shirts and trousers, party and evening dresses, maternity clothes, wedding dresses, night and in-house wear, beach and bath wear, scarves and others."
5229015,Land Transport," Agent Includes firms engaged in brokerage between their agents and the owners of the means of land transport, including undertaking contracts signing on behalf of principal against commission. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4773515,Laser & Fireworks," Show Equipment Trading Includes reselling laser and fireworks show products such as, digital light processors, screens and projectors, high powered lighting units, video devices, loudspeaker systems, these firms are not allowed to deal in fireworks materials."
4773932,Laundry & Dry," Cleaning Equipment Trading Includes reselling laundry machinery and equipment for cleaning and ironing clothes, textiles, linen, curtains, carpets and others, whether by steam or dry cleaning."
6820001,Leasing &, Management of Other People's Property equipment and utilities required to operate as shared kitchen spaces and offered for rental for professional food production.
5021002,Leisure Yachts &," Boats Rental Includes firms which hire out boats, small vessels and fully equipped yachts for individuals or tourist groups for sightseeing inside the cities or from one to another, through launching irregular trips. This does not include overnight Accommodation."
5320002,Letters & Post Items," Delivery Includes delivering surface and registered mail, usually letters, postcards, publications, small packs and publication pouches weighing 1 kgm in most."
6511001,Life Insurance, Includes firms which execute all insurance operations related to human life and covering any danger to life.
6520002,Life Reinsurance, Includes firms involve in life insurance passing some or all associated with high risk to a reinsurer to avoid bearing the high risk alone.
4773971,Life Saving," Equipment Trading Includes reselling equipment for marine life saving such as life jackets, lifebuoys and boats, also the devices that ignite light, smoke and fiare signals used to indicate the position of the distressed lifebuoys in day or night in order to enable rescuing."
4773942,"Lifts, Escalators &"," Spare Parts Trading Includes reselling lifts fixed in multi-stories facilities to carry people and goods, also, escalators and electric belts in airports, shopping centers, hotels and public utilities."
4773715,Light Aircraft Trading," Includes reselling light aircraft with a maximum gross takeoff weight of 100,000 lbs and are used commercially for passenger and freight transport, sightseeing, photography and personal use."
4759004,Light Fitting &," Fixtures Trading Includes reselling lighting lamps, ornamental ceiling lamps (except crystal chandeliers) switch keys and sockets. This also includes electric bells, spotlights, garden and house lighting device. Public parks and squares lightings are classified under Class 5150."
4773509,Lighting Equipment," & Requisites Trading Includes reselling lighting devices in public gardens, parks, squares, airports, sports stadium and others."
4752065,Lighting Poles," Trading Includes reselling utility lighting poles made of metal, concrete or wood for roads, streets and parks lighting."
4620201,Live Stock Trading," Includes reselling livestock such as camels, cows, horses, goats and sheeps."
4752070,Locks & Keys Trading," Includes reselling the mechanical or electronic fastening device which are released by a physical object, such as key, keycard, fingerprint, security token."
4730002,Lubricants & Grease, Trading includes reselling the high viscosity oil based lubricating substances used for lessening friction in the working parts of a mechanism in order to protect against wear and transfer heat.
4923020,Lubricants &," Petroleum Wastes Transport Includes using light and heavy tankers which are duly fitted to transport Lubricants and Petroleum Wastes that are considered risky to human beings and environment, and which require adherence to stringent measures in transporting."
4922004,Luxury Motor, Vehicles Services Includes firms specialized in providing passenger transport by luxury motor vehicles within or outside cities or as per order.
4752009,Marble & Natural," Stones Trading Includes reselling varieties of marbles and natural stones like granite, basalt, limestone, this activity is limited to firms that trade these materials as crude before any conversional processes except cutting in blocks or slabs for transport purposes. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4290905,Marina Construction," Contracting Includes the installation and maintenance of fioating docks, pontoons, jetties along with associated mooring systems comprising of piles, chain, elastic ropes and ancillary works like sewage pump out, water and electricity supply, firefighting systems for recreational, private and government facilities, the works include installation and maintenance of navigational buoys and signs and safety measures"
4773608,Measuring & Control," Systems Trading Includes reselling of all measurement, observation and control systems and equipment, this applies to land surveying, measurement of quantities, distances, temperature, humidity, height, geographical and environmental changes, also, equipment and devices to control the fiow of water, liquids, electricity, gases, regulators of speed and operations of production levels, also, cadastral and meteorology meters, also, devices to automate and control home electrical and electronic appliances"
4773947,Meat & Fish," Processing Equipment & Machinery Trading Includes reselling of equipment and machines for processing slaughtered cattle, chicken, fish and seafood, including skinning, defeathering, removal of crusts, cleaning and removal of unwanted parts, also, cutting meat in slices, filets, or mincing meat and preparing for cooking."
6512006,Mechanical Failure, Insurance Includes firms that offer mechanical breakdown insurance that covers a wide range of mechanical and electrical parts and labour.
4669210,Medical Gas Trading," Includes reselling of specially bottled gases for medical and treatment purposes, including oxygen, sterilization and anesthesia gases."
4772005,"Medical, Surgical"," Articles & Requisites Trading Includes reselling of certain instruments and precise medical apparatuses for treating of certain diseases, such as earphones, batteries for cardiac patients, pulse regulators, walking-sticks, splints for bone fractures, medical shoes, artificial limbs, dentures and other medical instruments, also, surgical requisites like artificial organs and parts to replace damaged organs, bone joints, heart valves, in additional to surgical suture bandages and plasters."
4773940,"Medical, Surgical"," Equipment & Instruments Trading Includes reselling instruments and equipment used in hospitals and clinics for diagnosis, treatment, surgical operations, medicine and blood preservation, X-raying, sterilization, waste disposal, physical therapy and rehabilitation, also, manual kits and instruments used for check-up, surgical operations and bandaging, as well as electronic devices using communication techniques"
4772003,Medicinal Chemicals, Trading Includes reselling medicinal basic chemicals to manufacture medicines.
4771104,Men Underwears," Trading Includes reselling men undergarments made of woven, knitted or crocheted fabric to be worn under other clothes, whether over the waist like T-shirts or below the waist like pants."
4771101,Men's Garment," Trading Includes reselling men's garments, such as shirts, suits, coats, jackets, socks, ties and others."
4752062,Metal Alloys Trading," Includes reselling alloys to produce steel plates, structural beams, columns, angles, seamless and welded pipes."
4753005,Metal Blinds Trading, Includes reselling metal slat blinds which consist of many horizontal slats and connected to allow light to pass between the slats.
4752039,Metal Cans &, Containers Trading Includes reselling metal cans and containers for the distribution or storage of goods.
4752038,Metal Drums &," Barrels Trading Includes reselling containers of metal for storage and transportation of water, petroleum products, chemicals and other liquids."
4662001,Metal Ores Trading," Includes reselling industrial basic ores for extracting various metals including hematite, bauxite, and zinc ore...etc."
4752043,Metal Ropes Trading, Includes reselling metal ropes used in pulling and lifting objects and in industrial uses.
4752064,Metal Wires Trading," Includes reselling metal wires for different uses, in constructions, or as manufacturing intermediary."
4773978,Meteorite Trading, Includes trading in meteorites that have been collected from the surface of the earth
4100013,Meteorology Projects, Contracting Includes firms involved in constructing weather stations on land or sea for accommodating the instruments and equipment that observe the atmospheric conditions to provide information for weather forecast and to study the weather and climate. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description
4771113,Military Clothware &," Requisites Trading Includes military gears for the army, police and civil defence, like uniforms, footwear, back bags, belts, sleeping bags, tents, chevron and badges, weapons and ammunition and combat heavy equipment are excluded."
4773968,Military Vehicles &," Equipment Spare Parts Trading Includes firms engaged in trading the parts and accessories for military vehicles and equipment used by the armed forces and police for different operations, the parts will be for tanks, armored and tactical vehicles, troop carriers, mine-resistant, ambush-protected vehicles, mine detection system and others."
4659969,"Military Weapons,"," Ammunition, Explosives & Pyrotechnic products Trading Includes firms specialized in the wholesale and import of all types of firearms, ammunition and equipment that are designed specifically for military use like machine guns, individual weapons, such as revolvers, shotguns, ammunition and projectiles, also, military smoke screens, sonic bombs and signaling fiares, it excludes hunting rifies."
4773988,Mind Abilities, Development Equipment Trading Includes the reselling of equipment and devices specialized in develop mind and body abilities and the functions of each to reach the most use thereof.
4722004,Mineral Water, Trading Includes reselling mineral water from mineral springs and wells after purification and bottling.
4711004,Mini Store," Includes convenience stores linked to public utilities, such as, hotels, petrol and metro stations, airports and others, they provide hot drinks, groceries, snack foods, confectionery, soft drinks, tobacco products, toiletries, newspapers and magazines."
4741011,Mobile Phones &," Accessories Trading Includes reselling cellular phones which make and receive telephone calls over a radio link while moving around a wide geographic area, beside telephony they support a wide variety of services such as text messaging, email, Internet access, gaming and photography, it involves selling different accessories such as memory card, car chargers, batteries, leather cases, screen protectors, Bluetooth headset, data cables, silicone skins, holders…etc."
4690014,Mobile Phones, Numbers Trading Includes reselling the distinguished numbers of the mobile phones obtain from the auctions conducted by the concerned authority.
4773952,Monetary & Banking," Equipment Trading Includes reselling monetary and banking operations equipment and machines, including A.T.M., currency and stock displayers, currency counters, currency and banknotes detectors, cheque numbers typewriters, money collectors, credit cards identifiers...etc."
8010002,Money & Valuables," Transport Services Includes providing transport services to carry money, precious metals like gold, silver, Jewellery, masterpiece antiques..etc."
6612005,Money Exchangers," Includes financial firms which work for their own account or the account of others in money exchange field, which is based on the purchase and sale of negotiable foreign currencies, monetary notes and coins. Their activities also include the purchase and sale of travelers' cheques, financial transfers and other exchange activities regulated by the laws and statutes of the Central Bank. This activity does not include firms working in financial and monetary brokerage."
4762013,Motion Picture," Trading Includes reselling directly to the public motion pictures, whether on video tapes or on compact discs, firms engaged in distribution to movie dealers are classified under group 921."
4923017,Motor Vehicles, Transportation Includes firms engaged in transporting motor vehicles by specialized trucks.
4540102,Motorcycles Spare," Parts & Accessories Trading Includes reselling the parts and components used for the repair or replacement of motorcycles failed parts, also the motorcyclists accessories such as helmets."
4540101,Motorcycles Trading," Includes reselling the two or three wheeled motorized motorcycles for cruising in paved roads or for off road use, including selling spare parts and motorcyclists accessories such as helmets ."
4761008,Multi-Dimensional," Images Trading (HOLOGRAM) Includes firms that supply other concerns with multi-dimensional imaged posters, pictures and stamps as per their commercial and professional requirements, these firms are not involved in the production process, but by specialized printing houses which are classified under No. 2221-08."
4759011,Musical Instruments," & Requisites Trading Includes reselling electronic and normal musical instruments like stringed, wind, percussion instruments, pipes, accordions, organs, including also the parts and accessories. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4721041,Natural Herbs," Trading Includes reselling raw and dried plants, herbs tisanes and fruits used for medication and treatment, without involving any converting or industrial processes."
4773705,Natural Resources," Extraction Machinery & Equipment Trading Includes trading of machinery and equipment for the extraction of natural resources from the ground, including oil and natural gas, mining equipment, mining and quarrying."
4923003,New & Used, Furniture Removal Includes firms engaged in removing by specialty vehicles as per the competent authority specifications.
4510202,New Automobile," Trading for Export Includes firms dealing in exporting new cars only, these firms are not allowed to open shops and sell cars directly to the public as the activity no. 4510101 “New Motor Vehicles Trading”."
4510101,New Motor Vehicles," Trading Includes reselling of new motor vehicle for personal passenger use, or for commercial use."
4761006,Newspapers &," Magazines Trading Includes reselling of newspapers, magazines, directories, catalogues and other specialized publications used for promoting fashions, furniture, interior designs, household items and others."
4669217,Non Edible Oil, Trading Includes reselling of vegetable and animal non-edible oil used for industrial purposes.
4752060,Non-Manufactured," Precious Metal Trading Includes reselling of the basic ores of gold, silver, platinum and other precious metals in pre- extraction condition, or in the form of ingots, blocks, threads or chips in pre- forming manufacturing."
4922012,Non-emergency," Transport of Patients & Elders Includes firms specialized in transporting patients ,seniors and people with special or non- emergency needs from homes to hospitals or any other destinations within the city."
4773403,Novelties Trading," Includes reselling of paintings, historical photographs, statues, antiquity utensils, as well as other art works made of silver, copper, wood, ivory, crystal, glass or others."
4721039,Nuts Trading," Includes reselling of all kinds of nuts, such as pistachio, almond, and peanuts, whether raw or after b peeling, processing, roasting, salting or packing in well sealed packs for consumption."
4773907,Occupational," Hygiene & Safety Requisites Trading. Includes reselling protective instruments and kits for protecting workers from occupational hazards in hospitals and clinics, factories, oilfields, civil construction sites and workshops, including masks, gloves, helmets and anti-radiation eyeglasses and uniforms."
4540104,Off Road Karts &," Spare Parts Trading Includes reselling three or four wheeled vehicles which run by petrol and used for recreation and sports, also, spare parts and components."
4773513,Office Equipment," Trading Includes reselling office equipment in public and private facilities banks, including, automatic and manual file shelves and cabinets, files moving carriages, safes, paper shredders, day and time attendance machines, paper and document binders and laminators, cards printers laminating and other equipment except office furniture."
4773920,Office Furniture," Trading Includes reselling of office desks, chairs, tables, cabinets and others, trading of office equipment and shops fittings is classified under class 5150."
6810002,Offshore Mobile," accommodation Platforms Rental Includes renting and managing fully furnished platforms to accommodate the employees of marine oil and construction companies, these platforms are towable from one place to another, no tourist renting is allowed."
4220902,Oil & Gas Civil," Structural Works Contracting Includes executing the civil and structural works in oil and gas, such as, storage tanks, piping, pipelines, petroleum refinery plants, etc."
4220907,Oil & Gas Electrical," Works Contracting Includes executing the electrical works in oil and gas such as storage tanks, piping, pipelines, petroleum refinery plants, etc"
4220908,Oil & Gas," Instrumentation & Controls Contracting Includes operating machinery and equipment, importing the equipment needed to operate refineries, building their factories and plants, and planning their production This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4220906,Oil & Gas Mechanical," works Contracting Includes executing the mechanical works in oil and gas such as storage tanks, piping, pipelines, petroleum refinery plants, etc"
4773718,Oil Drilling Rigs &, Equipment Trading
4773704,Oilfield & Natural Gas," Equipment & Spare Parts Trading Includes reselling the equipment involved in the various operations of oil and natural gas production, from primary stages of survey and exploration up to storage, including equipment related to drilling, pumping, gas liquefaction, refining and transportation."
4669222,Oilfield Chemicals," Trading Includes reselling chemicals for various oilfield applications like production, well stimulation, drilling and injection."
4773405,Old Postage Stamps," & Currencies Trading Includes selling, buying and exchanging old and memorial postage stamps, coins and bank notes, phone cards, celebrities` photos, whether set in historical order, collectively or individually, activity no.(513508) "" Trading of Novelities"" is not included."
4773308,Organic Fertilizer &," Plant Feed Trading Includes reselling animal and bird manure, or vegetable residues or a mixture of them to improve soil quality, such materials can exist as crude or processed to render for marketing or use in fertilizing agricultural soil, also, agricultural feed added to the soil in order to improve and enhance productivity."
4753001,Oriental Carpets, Trading Includes reselling manually woven oriental carpet.
6512008,Other Types of," Insurance Includes firms which carry out other insurance modes against all dangers other than the following Insurance activities, accidents and liabilities, health, transportation risk and credit and saving insurance, life insurance and reinsurance"
6810011,Outlet Mall," A commercial complex with a large number of commercial outlets that are leased to retailers to sell their products directly to consumers at lower prices than other similar commercial outlets. The complex also includes facilities providing services such as restaurants, cafes, and snack shops. As well as recreational and social services such as entertainment centers and others."
4773936,Packing & Packaging," Equipment Trading Includes reselling semi-automatic and automatic packing and packaging equipment and machinery, for wrapping, bagging, sealing materials."
4773964,Packing & Packaging," Materials Trading Includes reselling freight packing and wrapping, industrial packaging materials, including packs, boxes, panels, sheets, foils and straps made of paper, plastic or metal materials or other substances."
4773905,Paging Receivers," Trading Includes the resale of wireless paging devices operated as telecommunication systems to receive massages and telephone number, other telecommunication devices are classified in class 5150"
