DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Education,8090-51,Arabic Language Institute,معهد لتعليم اللغة العربية,Service,"Includes providing Arabic language tutoring as a second language for non-Arabic speakers, it involves the principles, grammar, reading, writing and speaking techniques.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-52,Examinations & Tests Preparation Center,مركز لتحضير الإختبارات والإمتحانات,Service,"It is a center that provides services to prepare individuals and organizations for tests or examinations on certification, aptitude, language proficiency, such as TOEFL, IELTS, ICDL, GRE, GMAT, SAT and Cambridge certifications through face to face or online training.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-53,Advanced First Aid Training Center,مركز تدريب إسعافات متقدمة,Service,"A center specialized in scientifically designing and providing training programs in advanced first aid and its applications, in order to save a life or alleviate injury impacts to minimal level and facilitate therapeutic procedures to be done by the doctor.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Corporation for Ambulance Services,
Education,8090-54,Fire Safety Training,التدريب على الوقاية من الحريق,Service,"Includes firms specialized in educating on fire safety, which would help people to identify fire hazards around them, how to prevent fire occurring and how to contain, how to evacuate properly to avoid chaos and injuries, using of firefighting equipment, first aids for minor injuries.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Directorate of Civil Defence,
Education,8090-55,Advanced Driving School,معهد القيادة المتقدمة,Service,"Includes providing theoretical education and practical to light motor vehicles drivers who hold valid driving licenses to refresh and enhance awareness on safe driving on roads, upgrading skills to identify and avoid driving risks, enabling understanding driving psychology, educating on how to plan a driving trip before taking the road.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Education,8090-57,Professional & Management Development Training,التدريب في مجال التطوير المهني الإداري,Service,"udes institutions primarily engaged in offering an array of short duration courses for management, professional and personal development, including providing training in areas such as education, social and behavioral development, management, secretarial skills, HR",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-58,Computer Training,التدريب في مجال الحاسوب,Service,"Includes institutions primarily engaged in conducting computer training, such as computer programming, computerized business systems, computer electronics technology, computer operations and local area network management.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-59,Language Training,تعليم اللغات,Service,"Includes institutions primarily engaged in offering language instruction, including sign language and cultural awareness.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-60,Fine Arts Training,التدريب في مجال الفنون الجميلة,Service,"Includes institutions primarily engaged in offering instruction in the arts, including drawing, sculpture, calligraphy, music, dance, etc.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-61,Education Support Services,الخدمات التعليمية,Service,"Includes institutions primarily engaged in providing non-instructional services that support educational processes or systems, including the provision of examination preparation.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-63,Technical and Occupational Skills Training,التدريب على المهارات المهنية التقنية,Service,"Includes institutions primarily engaged in offering technical training in a variety of job-specific subjects and trades, the training often leads to job-specific certification.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Education,8090-64,Child Skills Development Training,التدريب على تطوير مهارات الأطفال,Service,"Includes institutions engaged in the provision of instruction which enriches and develops the non-academic skills of students by providing them with tools to supplement formal education, the content provided by these centers is different from formal school education and does not lead to formal school qualifications or assist in the passing of school examinations",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Healthcare,8511-01,General Hospital,مستشفى عام,Service,"Is a healthcare facility where diagnosis, medical care, treatment, obstetrical care, nursing care or related services are provided on outpatient or on inpatient basis for a period of more than 24 consecutive hours to persons who have an illness, injury or deformity or to aged or infirm persons requiring or receiving convalescent care .",Yes,Commercial Plot,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-02,Ophthalmology Hospital,مستشفى أمراض العيون,Service,"Is a healthcare facility where diagnoses, medical care, treatment, nursing care are provided to ophthalmic patients on outpatient or on inpatient basis.",Yes,Physical Office space,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-03,Paediatric Hospital,مستشفى أمراض الأطفال,Service,"Is a healthcare facility where diagnoses, medical care, treatment, nursing care are provided to children and neonates on outpatient or on inpatient basis.",Yes,Physical Office space,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-04,Gynecology & Obstetric Hospital,مستشفى أمراض النساء والولادة,Service,"Is a healthcare facility where diagnoses, medical care, treatment, nursing care are provided to women and neonates on outpatient or on inpatient basis.",Yes,Physical Office space,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-05,Convalescence House,دار نقاهة,Service,A health facility licensed by the concerned authority in order to provide inpatient nursing care and other health-related care to those in need of continuous care that do not require hospitalization.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-06,Plastic Surgery Hospital,مستشفى جراحة التجميل,Service,Is a healthcare facility where surgery and medical treatment are provided to plastic surgery patients on outpatient or on inpatient basis.,Yes,Physical Office space,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-07,Addiction Rehabilitation Center,مركز تأهيل مدمنين,Service,"A healthcare facility provides residential treatment for people recovering from addiction as part of continuum of care for effective treatment. It is characterized by a high level of psychological and social intervention at a critical stage of recovery. Residential treatment is most effective when people are immediately discharged from an in-patient hospital unit, or when their addiction symptomology requires a low level of assisted withdrawal and when abstinence is a goal of treatment. In addition residential treatment is most valuable where there is polydrug misuse, co-occurrence of substance misuse and mental illness or complex social and relationship issues.",Yes,Any Type,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8511-08,Orthopedic Surgery Hospital,مستشفى جراحة العظام,Service,Is a healthcare facility where surgery and medical treatment are provided to orthopedic surgery patients on outpatient or on inpatient basis.,Yes,Any Type,,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-01,General Clinic,عيادة الطب العام,Service,"A licensed health facility where one general practitioner or more is/are permanently available . It is specialized in examining patients, prescribing proper medicines and referring cases to specialist if necessary.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-02,Internal Medicine Clinic,عيادة أمراض باطنية,Service,A health facility licensed where there is more than one doctor licensed permanently in different specialties It is specialized in the diagnosis of internal diseases as well as treatment and prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-03,Cardiac Clinic,عيادة أمراض القلب,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the heart as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-04,Paediatric Clinic,عيادة أمراض الأطفال,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of children and neonates as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-05,Ophthalmology Clinic,عيادة طب العيون,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the eyes as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-06,Orthopedic Clinic,عيادة جراحة العظام,Service,A health facility licensed where there is more than one doctor licensed permanently and specialized in dealing with the diseases involving the musculoskeletal system.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-07,Respiratory Clinic,عيادة الأمراض التنفسية,Service,A health facility licensed where there is more than one doctor licensed permanently and specialized in dealing with the diseases involving the respiratory track.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-08,Obstetric & Gynecology Clinic,عيادة أمراض النساء والولادة,Service,"A health facility licensed where there is more than one doctor licensed permanently in different specialties, it’s specialized in the diagnosis and medical care provision to women and neonates.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-09,Urology Clinic,عيادة المسالك البولية,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the urinary tract system and the reproductive organs as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-10,Psychiatry Clinic,عيادة الأمراض النفسية,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of mental disorder and illness as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-11,Dermatology Clinic,عيادة الأمراض الجلدية,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the skin as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-12,Otolaryngology Clinic,عيادة الأنف والأذن والحنجرة,Service,"Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of the ear, nose, and throat as well as the prescription of medicine.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-13,Dental Clinic,عيادة طب الأسنان,Service,"Specialized facility in the ""evaluation, diagnosis, prevention and/or treatment (nonsurgical, surgical or related procedures) of diseases, disorders and/or conditions of the oral cavity, maxillofacial area and/or the adjacent and associated structures and their impact on the human body.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-15,Plastic Surgery Clinic,عيادة جراحة التجميل,Service,"Includes clinics where a surgeon specialized in plastic surgery is permanently and continuously available, whether the surgery for enhancing the appearance or to correct functional impairments caused by accidents and surgical operations.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-16,General Surgery Clinic,عيادة الجراحة العامة,Service,"Includes clinics which have general surgeons who do not operate specialized surgeries, usually undertaken by specialized surgeons. These clinics activities are limited to removing tumors, digestive system surgeries. These operations are not conducted in the clinics but in the equipped government or private hospitals.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-17,Endocrinology Clinic,عيادة الغدد الصماء,Service,Includes clinics specialized in the diagnosis of endocrine glands diseases as well as treatment and prescription of medicine for patients.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-18,Poly Clinic,مجمع طبي,Service,A health facility licensed where there is more than one doctor licensed permanently in different specialties under central management. It is specialized in examining patients and prescribing therapy on an out patient basis.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-19,Neurosurgery Clinic,عيادة جراحة الأعصاب,Service,"Includes clinics where an specialized surgeon is permanently and continuously available diagnosis and therapy of the diseases and disorders which affect any portion of the nervous system including the brain, spinal cord, peripheral nerves, as well as the prescription of medicine.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-20,Oncology Clinic,عيادة الأمراض السرطانية,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the diseases of as well as follow-up of cancer patients after successful treatment .,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-21,Day Surgical Center,مركز الجراحات اليومية,Service,"A health facility licensed to receive and treat day cases in which stay will not be overnight, where previous and past operative complications are not expected ( for surgical cases ). It is provided in such cases that diagnosis, clinical lab tests and other procedures doe prior to admission.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-22,Maxillofacial Surgery Clinic,عيادة جراحة الوجه والفكين,Service,"Includes clinics where a surgeon specialized in plastic surgery is permanently and continuously available to provide surgery and medical treatment to the diseases of jaws, face, skull region.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-23,Optical Center,مركز بصريات,Service,"A facility licensed and equipped to examine sight, prepare medical glasses and apply contact lenses according to the report of ophthalmologist..",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-24,Psychological Counseling Center,مركز إرشاد نفسي,Service,"A health facility licensed to provide analysis, rehabilitation and psychological advice services through a licensed psychologist working in coordination with the treating doctor.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-25,Laser Cosmetic Center,مركز تجميل بالليزر,Service,Includes clinics where a surgeon specialized in plastic surgery is permanently and continuously available to provide cosmetic surgery by laser.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-26,Acupuncture Center,مركز وخز بالإبر الصينية,Service,A health facility licensed to provide medical treatment through insertion of metal needles into the skin and underlying tissues. It is believed that the needle affects the hypothetical channels and burning spaces of the body. The site of insertion is chosen to affect a particular organ for treatment purpose.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-28,Chiropractic Center,مركز معالجة يدوية لتقويم العمود الفقري (كايروبراكتيك),Service,"A health facility specialized in correction of vertebral column joints and bones status by mechanical manipulation of the vertebral column. It includes preparing the patient for manual therapy through muscle relaxant devices such as thermal, electrical, ultra- sound devices and others.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-29,Homeopathy Center,مركز طب مثلي (هوميوباثي),Service,"A health facility licensed to practice homeopathy medicines to restore internal body balance through a system of therapeutics based on the theory that ""like cures like"" where is believed that a large amount of a particular drug may cause symptoms of disease and moderate ""very small"" dosage may reduce these symptoms.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-30,Traditional Chinese Medicine Center,مركز طب صيني تقليدي,Service,"A health facility licensed to provide medical treatment based on Chinese dualistic theory (Yin, Yang). This theory is used to understand pathology, diagnosis and treatment. Diagnostic conclusions are drawn from the quality of the voice, and notes are made of the face and tongue color, and examination of pulse. Acupuncture, moxibustion, hydrotherapy are integral part of the traditional Chinese medicine.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-31,Ayurvedic Center,مركز طب هندي تقليدي (الايروفيديا),Service,"A health facility licensed to provide ayurvedic Indian medicine, based on Indian philosophy of understanding human body, medicine and treatment. Indian medicine consists of natural resources of herbs, message, oils, nutrition, exercises, yoga and diet.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-33,Unani Medicine Center,مركز الطب اليوناني,Service,"A health facility specialized in traditional therapy based on theories, beliefs and experience of indigenous to different cultures of the middle east. This includes cupping (Hejama), herbal medicine, cauterization, dietary, as well as the Unani medicine which is based on Hippocrates theory of four bodily humors. Drugs are of plant, animal or mineral origin, either in crude or compound formulas",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-34,Bioresonance Therapy Clinic,مركز علاج بالرنين الحيوي,Service,Includes Specialized Clinics which offer diagnostic tests using an electromagnetic Device (BICOM) to measure the body's oscillations (Wave Pattern) and separate the physiological (normal) frequencies and the pathological (Abnormal). The pathological oscillations are modulated in BICOM device and fed back ino the body as normal oscillations.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-35,Osteopathy Center,مركز معالجة يدوية لتقويم العظام (أوستيوبثي),Service,"A health facility specialized in treatment of body structure such as bones, joints, ligaments, tendons, muscles and connective tissues, as well as their relation with each other and their health status on various body systems.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-36,Meditation Centre,مركز للاسترخاء والتأمل,Service,"A health facility specialized in using natural methods in the treatment such as healthy nutrition, fasting, hydrotherapy, and natural health habits, e.g, simple exercises, relaxation contemplation, optimism and herbal medicines.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",,
Healthcare,8512-37,Smoking Cessation Center,مركز لمكافحة التدخين,Service,"Includes healthcare centers specialized in helping smokers to discontinue the practice of tobacco smoking, whether through the method of medications depending on nicotine replacement therapy by using nicotine patches and electronic cigarettes , also, the method of counseling, health awareness programs.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-39,Vascular Surgery Clinic,عيادة جراحة الأوعية الدموية,Service,"Includes clinics where a surgeon specialized in vascular surgery is permanently and continuously available for the treatment of varicose veins affecting the lower limb, different arterial pathologies, foot ulcers and gangrene, venous and arterial thrombosis",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-41,Assisted Fertilization Center,مركز إخصاب,Service,A facility where technologies for assisting human fertility and includes all clinical and biological interventions used to help in achieving fertilization and pregnancy without sexual intercourse.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-45,Rheumatology Clinic,عيادة أمراض الروماتيزم,Service,Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the rheumatic diseases and disorders as well as the prescription of medicine.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-46,Naturopathy Center,مركز معالجة بالطبيعة (ناتشروباثي),Service,"Is health facility specialized in using natural methods in the treatment such as healthy nutrition, fasting, hydrotherapy, and natural health habits, e.g, simple exercises, relaxation contemplation, optimism and herbal medicines.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-48,Renal Dialysis Center,مركز غسيل كلى,Service,A freestanding centre specialized in treating kidney diseases and provides services of renal dialysis with specialized health professionals.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8512-49,Outpatient Treatment & Diagnostic Center,مركز علاج وتشخيص طبي,Service,A special health facility in the form of outpatient center capable of accommodating a wide array of outpatient treatment and diagnostic services and minimally invasive procedures.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-01,Radio Diagnostic Center,مركز تشخيص إشعاعي,Service,"A licensed health facility where a radiologist or nuclear medicine specialist is available. It is prepared to carry out various radiology diagnostic procedures, including x- ray and nuclear medicine.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-02,Air Ambulance Services,خدمات الإسعاف الجوي,Service,"Includes providing air ambulance emergency services to move patients and accidents victims to hospitals and treatment centers, shifting doctors and medical teams alongwith the medical supplies to where natural disasters strike, transporting donated organs and medical equipment, such firms must be staffed by highly trained medical personnel as well as obtaining due licensing from the competent medical authorities.",Yes,Physical Office space,Company to provide a license from Dubai Corporation for Ambulance Services after 6 months from obtaining the DMCC License.,,"50,000 AED per company",Dubai Corporation for Ambulance Services,
Healthcare,8519-03,Dieting & Weight Control Services,خدمات الحمية الغذائية والسيطرة على الوزن,Service,"Includes firms specialized in diet systems and weight loss or control programs. This process involves consultations, advice, support and regular follow-up to ensure the customer is sticking to his lifestyle changes, in addition to offering low calorie package meals and menu planning as well as providing related audio-visual tapes.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-04,Clinical Laboratory,مختبر طبي,Service,A licensed health facility where a pathologist is permanently available. It is equipped to perform various medical analysis tests for medical diagnosis purposes.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-05,Health & Medical Performance Services,خدمات التعهدات الصحية والعلاجية,Service,"Includes offices which offer specialized services to patients, hospitals and institutions. These offices organize contacts with the foreign hospitals, specialized clinics and centers and provide patients with information, charges, clinical check-up and operation appointments etc.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",,
Healthcare,8519-07,Home Health Care Center,مركز خدمات الصحة المنزلية,Service,"A health facility licensed to provide patients at their homes with health care services less intensified than that required at the health facility. The services include, but not limited to, nursing care, I.V therapy, respiratory therapy, ECG, physical and functional therapy.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-08,Pharmaceutical Consultancies,الإستشارات الصيدلانية,Service,"Includes firms specialized in offering consultancy on the use of medicines, their manufacturers and storage methods to hospitals, pharmacies, doctors, clinics, medical institutes and colleges.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Healthcare,8519-09,Health Planning & Consultancies,الإستشارات والتخطيط الصحي,Service,"Includes providing consultation and feasibility studies for health facilities as regarding budgeting, managing finances, human resource matters, create reports, and aid medical organizations in regulatory compliance, required medical equipment and supplies, set up health quality assurance program to promote services level according to the international medical standards, the minimal qualifications required is bachelor degree in Business Administration or Economics or a related discipline , along with three years hands-on experience.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Healthcare,8519-12,Telemedicine Counseling Center,مركز إستشارات طبية عن بعد,Service,"A center specialized in using different communication means to provide diagnostic, therapeutic and learning services for individuals residing in places far from specialized medical centers. It includes direct contact with specialists around the world for consultation, diagnosis and therapy without providing any therapeutic services.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-13,Ambulance Services,خدمات الإسعاف,Service,"Includes firms providing ambulance emergency and non- emergency medical services by a well equipped ambulances for transferring patients and injured persons to hospitals and clinics, involving transport of patients from homes, escort services, located in public places and highways for emergencies, such firms must be staffed by highly trained medical personnel as well as obtaining due licensing from Dubai corporation for ambulance services.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Corporation for Ambulance Services,
Healthcare,8519-15,Health Awareness Services,خدمات التثقيف الصحي,Service,"Includes firms specialized in organizing health awareness programs on various diseases to patients and their families, including, distribution of print and audiovisual materials, periodic campaigns, lectures and talks in clubs, associations, universities, work closely with media to reach out to masses, online information giving.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Healthcare,8519-16,Physical Medicine & Rehabilitation Center,مركز طب طبيعي وتأهيل,Service,"A licensed health facility where a specialist in physical medicine and rehabilitation is permanently available. Iis specialized in rehabilitating patients through simulation of natural body functions using them in treatment after conducting all necessary medical tests to verify reasons of therapy, upon instructions by the treating doctor.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-17,Physiotherapy Center,مركز علاج طبيعي,Service,"A health facility licensed to provide rehabilitation services through stimulating body movement and improving abilities to perform body functions. This includes manual- motor therapy, therapeutic exercises, physio electric- mechanical devices, supportive tools and electric diagnosis methods applied by licensed physiotherapist.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-19,Audiology & Speech Center,مركز سمع وتخاطب,Service,A health facility licensed to evaluate and treat hearing weakness and speech problems.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Personal & Community Services,8519-20,Tan Center,مركز لإكتساب السمرة,Service,"Includes firms engaged in darkening or tanning the color of skin by artificial tanning methods such as tanning beds which emits ultraviolet radiation to produce a cosmetic tan, including also using chemical products which can produce a tanning.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",,
Healthcare,8519-27,Medical Spa (MedSpa) Center,منتجع طبي,Service,"A centre supplies a variety of treatments with the aim of providing relaxation, rejuvenation, preventive healthcare, detoxification, fitness and general wellbeing including medical services; diagnostic methodology in this facility is western-centered while prescribed treatment consists of combined modalities. The focus of the services ranges from skincare to weight management to face and body enhancement. Non-invasive beauty services and Traditional, Complementary and Alternative Medicine (TCAM) services may be available. Services are performed by aestheticians, physiotherapists, and cosmetologists supervised by a specialist physician.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-28,Special Need Center,مركز إحتياجات خاصة,Service,"A Community-based non-residential facility specializing in providing services that are designed to meet the needs of functionally and/or cognitively impaired children. Special need center facilities provide a caring, non-institutional setting for individuals who, for their own safety and well-being, can no longer be left at home alone. These facilities often provide protected settings and include a mixture of health and support services. Many offer specialized services such as programs for individuals with developmental disabilities, vision and hearing impairments.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-29,Hijjama Center,مركز حجامة,Service,A facility provides cupping therapy (Hijama) by qualified and licensed professional.,Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Health Authority,
Healthcare,8519-32,Children with Autism Rehabilitation Center,مركز تأهيل أطفال التوحد,Service,"Includes centers engaged in specialized services to children with Autism, their families and the professionals working with them, it involves delivering them with psychological, rehabilitative, care and support programs, as well as applying educational plans to foster their behavioral, imitative, emotional, social, functional, communicative basic skills and also their academic and pre- academic skills as well.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Ministry of Social Affairs,
Healthcare,8520-01,Veterinary Clinic,عيادة بيطرية,Service,"Includes clinics where qualified veterinarian practices veterinary medicine by treating disease, disorder, and injury in farm animals or pet animals.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Public Health Services Department - Dubai Municipality,
Personal & Community Services,8531-01,Social Club,نادي اجتماعي,Service,"Includes social clubs with membership, which offer cultural and entertainment activities such as lectures and film show or carry out social activities like holding ceremonies that mark various occasions, such services are offered against fixed charges or subscription, such clubs are not allowed to organize summer activities or camps.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Community Development Authority,
Personal & Community Services,8531-04,Religious Center,مركز ديني,Service,"Includes religious centers engaged in activities aiming at enhancing the religion and religious culture by means of propagation, guidance, teaching, lecturing, publication distribution, in addition to undertaking scientific works regarding collecting studying, revamping and printing religious heritage.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Awqaf and Minors Affairs Foundation,
Personal & Community Services,8531-05,Women Club,نادي سيدات,Service,"A club where membership is restricted to ladies, which offers cultural and entertainment activities such as lectures and film show or carry out social activities like holding ceremonies on various occasions, such clubs are not allowed to organize summer activities or camps.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Community Development Authority,General Authority of Youth and Sports Welfare
Professional Services,9111-01,Business Council,مجلس لتنمية علاقات العمل,Service,"Includes councils set up by groups of businessmen belonging to a specific country or nationality, and which undertake developing trade ties between businessmen of the country to which the council and businessmen belong, particularly the United Arab Emirates. The council's activities also include developing work in the agricultural, industrial, trade and vocational sectors etc. But these councils may not directly practice any commercial business.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Chamber,
Professional Services,9111-03,Businessmen Forum,منتدى لرجال الاعمال,Service,"Includes the non-profit local business groups which represent different business sectors, the objective of the forum is centered around achieving its goals through organizing the affairs of the members in each sector or coordinating with entities that have the same interests, membership is optional to the firms of the business community.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Chamber,
Education,9214-02,Folklore Dances Training & Performance,عرض الفنون الشعبية والتدريب على ادائها,Service,"Includes firms which provide training and performances of traditional folklore dances for private or public functions for a fee or without cost to the customer. Also includes promotion of own services, performances and events through a licensed media provider.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Knowledge & Human Development Authority,
Personal & Community Services,9214-03,Parties & Entertainments Services,تعهدات الحفلات و المناسبات الترفيهية,Service,"Includes firms specialized in indoor and outdoor supplies and preparations where concerts, weddings, special occasions and entertainment events are held. Their role is to decorate, rent and supply equipment, light fixtures, sound effects, conclude contracts with artists and music bands, arrange for photographers and service waiters.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Community Services,9214-04,Parties & Private Functions Filming,تصوير الحفلات والمناسبات الشخصية,Service,"Includes firms which undertake filming of personal wedding parties, official opening ceremonies, exhibitions etc.",Yes,Any Type,No Restriction,,"50,000 AED per company",,
